Year,Month,Day,Hour,Minute,DHI,Clearsky DNI,Clearsky GHI,Clearsky DHI,GHI,DNI
2022,1,5,11,30,0,0,0,0,0,0
2022,1,5,12,0,0,0,0,0,0,0
2022,1,5,12,30,0,0,0,0,0,0
2022,1,5,13,0,0,0,0,0,0,0
2022,1,5,13,30,0,0,0,0,0,0
2022,1,5,14,0,0,0,0,0,0,0
2022,1,5,14,30,0,0,0,0,0,0
2022,1,5,15,0,11,240,16,11,16,240
2022,1,5,15,30,27,529,84,27,84,529
2022,1,5,16,0,37,687,169,37,169,687
2022,1,5,16,30,44,782,255,44,255,782
2022,1,5,17,0,151,844,335,50,298,436
2022,1,5,17,30,53,886,405,53,405,886
2022,1,5,18,0,185,911,464,58,451,597
2022,1,5,18,30,60,931,509,60,509,931
2022,1,5,19,0,61,943,540,61,540,943
2022,1,5,19,30,171,945,553,61,471,576
2022,1,5,20,0,205,944,554,62,418,409
2022,1,5,20,30,211,938,538,62,421,413
2022,1,5,21,0,60,925,507,60,507,925
2022,1,5,21,30,187,905,461,58,442,573
2022,1,5,22,0,54,875,401,54,401,875
2022,1,5,22,30,164,833,330,50,184,61
2022,1,5,23,0,81,775,251,44,83,7
2022,1,5,23,30,36,680,166,37,36,1
2022,1,6,0,0,26,528,82,26,82,528
2022,1,6,0,30,11,242,16,11,16,242
2022,1,6,1,0,0,0,0,0,0,0
2022,1,6,1,30,0,0,0,0,0,0
2022,1,6,2,0,0,0,0,0,0,0
2022,1,6,2,30,0,0,0,0,0,0
2022,1,6,3,0,0,0,0,0,0,0
2022,1,6,3,30,0,0,0,0,0,0
2022,1,6,4,0,0,0,0,0,0,0
2022,1,6,4,30,0,0,0,0,0,0
2022,1,6,5,0,0,0,0,0,0,0
2022,1,6,5,30,0,0,0,0,0,0
2022,1,6,6,0,0,0,0,0,0,0
2022,1,6,6,30,0,0,0,0,0,0
2022,1,6,7,0,0,0,0,0,0,0
2022,1,6,7,30,0,0,0,0,0,0
2022,1,6,8,0,0,0,0,0,0,0
2022,1,6,8,30,0,0,0,0,0,0
2022,1,6,9,0,0,0,0,0,0,0
2022,1,6,9,30,0,0,0,0,0,0
2022,1,6,10,0,0,0,0,0,0,0
2022,1,6,10,30,0,0,0,0,0,0
2022,1,6,11,0,0,0,0,0,0,0
2022,1,6,11,30,0,0,0,0,0,0
2022,1,6,12,0,0,0,0,0,0,0
2022,1,6,12,30,0,0,0,0,0,0
2022,1,6,13,0,0,0,0,0,0,0
2022,1,6,13,30,0,0,0,0,0,0
2022,1,6,14,0,0,0,0,0,0,0
2022,1,6,14,30,0,0,0,0,0,0
2022,1,6,15,0,11,247,16,11,16,247
2022,1,6,15,30,26,526,83,26,83,526
2022,1,6,16,0,35,685,167,35,167,685
2022,1,6,16,30,41,778,251,41,251,778
2022,1,6,17,0,46,839,330,46,330,839
2022,1,6,17,30,50,880,400,50,400,880
2022,1,6,18,0,52,908,458,52,458,908
2022,1,6,18,30,54,928,503,54,503,928
2022,1,6,19,0,55,944,536,55,536,944
2022,1,6,19,30,56,949,551,56,551,949
2022,1,6,20,0,56,950,552,56,552,950
2022,1,6,20,30,55,944,536,55,536,944
2022,1,6,21,0,59,925,507,59,507,925
2022,1,6,21,30,57,906,462,57,462,906
2022,1,6,22,0,54,881,405,54,405,881
2022,1,6,22,30,50,839,335,50,335,839
2022,1,6,23,0,46,775,255,46,255,775
2022,1,6,23,30,38,681,170,38,170,681
2022,1,7,0,0,28,524,85,28,85,524
2022,1,7,0,30,12,238,17,12,17,238
2022,1,7,1,0,0,0,0,0,0,0
2022,1,7,1,30,0,0,0,0,0,0
2022,1,7,2,0,0,0,0,0,0,0
2022,1,7,2,30,0,0,0,0,0,0
2022,1,7,3,0,0,0,0,0,0,0
2022,1,7,3,30,0,0,0,0,0,0
2022,1,7,4,0,0,0,0,0,0,0
2022,1,7,4,30,0,0,0,0,0,0
2022,1,7,5,0,0,0,0,0,0,0
2022,1,7,5,30,0,0,0,0,0,0
2022,1,7,6,0,0,0,0,0,0,0
2022,1,7,6,30,0,0,0,0,0,0
2022,1,7,7,0,0,0,0,0,0,0
2022,1,7,7,30,0,0,0,0,0,0
2022,1,7,8,0,0,0,0,0,0,0
2022,1,7,8,30,0,0,0,0,0,0
2022,1,7,9,0,0,0,0,0,0,0
2022,1,7,9,30,0,0,0,0,0,0
2022,1,7,10,0,0,0,0,0,0,0
2022,1,7,10,30,0,0,0,0,0,0
2022,1,7,11,0,0,0,0,0,0,0
2022,1,7,11,30,0,0,0,0,0,0
2022,1,7,12,0,0,0,0,0,0,0
2022,1,7,12,30,0,0,0,0,0,0
2022,1,7,13,0,0,0,0,0,0,0
2022,1,7,13,30,0,0,0,0,0,0
2022,1,7,14,0,0,0,0,0,0,0
2022,1,7,14,30,0,0,0,0,0,0
2022,1,7,15,0,12,234,17,12,17,234
2022,1,7,15,30,28,525,85,28,85,525
2022,1,7,16,0,40,691,173,40,173,691
2022,1,7,16,30,47,787,260,47,260,787
2022,1,7,17,0,53,850,341,53,341,850
2022,1,7,17,30,57,892,412,57,412,892
2022,1,7,18,0,59,923,472,59,472,923
2022,1,7,18,30,61,943,519,61,519,943
2022,1,7,19,0,63,953,550,63,550,953
2022,1,7,19,30,64,960,567,64,567,960
2022,1,7,20,0,64,959,567,64,567,959
2022,1,7,20,30,63,954,552,63,552,954
2022,1,7,21,0,63,946,523,63,523,946
2022,1,7,21,30,61,927,477,61,477,927
2022,1,7,22,0,58,896,418,58,418,896
2022,1,7,22,30,54,854,346,54,346,854
2022,1,7,23,0,49,787,264,49,264,787
2022,1,7,23,30,101,691,177,42,135,174
2022,1,8,0,0,60,521,89,31,63,32
2022,1,8,0,30,10,223,19,13,10,0
2022,1,8,1,0,0,0,0,0,0,0
2022,1,8,1,30,0,0,0,0,0,0
2022,1,8,2,0,0,0,0,0,0,0
2022,1,8,2,30,0,0,0,0,0,0
2022,1,8,3,0,0,0,0,0,0,0
2022,1,8,3,30,0,0,0,0,0,0
2022,1,8,4,0,0,0,0,0,0,0
2022,1,8,4,30,0,0,0,0,0,0
2022,1,8,5,0,0,0,0,0,0,0
2022,1,8,5,30,0,0,0,0,0,0
2022,1,8,6,0,0,0,0,0,0,0
2022,1,8,6,30,0,0,0,0,0,0
2022,1,8,7,0,0,0,0,0,0,0
2022,1,8,7,30,0,0,0,0,0,0
2022,1,8,8,0,0,0,0,0,0,0
2022,1,8,8,30,0,0,0,0,0,0
2022,1,8,9,0,0,0,0,0,0,0
2022,1,8,9,30,0,0,0,0,0,0
2022,1,8,10,0,0,0,0,0,0,0
2022,1,8,10,30,0,0,0,0,0,0
2022,1,8,11,0,0,0,0,0,0,0
2022,1,8,11,30,0,0,0,0,0,0
2022,1,8,12,0,0,0,0,0,0,0
2022,1,8,12,30,0,0,0,0,0,0
2022,1,8,13,0,0,0,0,0,0,0
2022,1,8,13,30,0,0,0,0,0,0
2022,1,8,14,0,0,0,0,0,0,0
2022,1,8,14,30,0,0,0,0,0,0
2022,1,8,15,0,11,216,16,11,16,216
2022,1,8,15,30,57,515,85,29,61,36
2022,1,8,16,0,40,683,171,40,171,683
2022,1,8,16,30,47,780,259,47,259,780
2022,1,8,17,0,51,851,340,51,340,851
2022,1,8,17,30,55,899,415,55,415,899
2022,1,8,18,0,59,926,475,59,475,926
2022,1,8,18,30,61,946,522,61,522,946
