x1,x2,x3,x4,x5
1.3288674174485116e9,1.3298090969907546e9,1.3313116783401709e9,1.3331745128345919e9,1.3329030524170892e9
1.3288674174485116e9,1.3293121814363747e9,1.3282784693695223e9,1.328301394010134e9,1.3281632197661066e9
1.3288674174485116e9,1.3284665458148036e9,1.3289373137412784e9,1.3278558683860636e9,1.3276815839221885e9
1.3288674174485116e9,1.328753625918855e9,1.329301035519104e9,1.3300775871045647e9,1.3315253880172634e9
1.3288674174485116e9,1.3280069312379751e9,1.3293604312149212e9,1.3279425938854527e9,1.328340073659063e9
1.3288674174485116e9,1.327557519123352e9,1.32677101265645e9,1.3276149927001717e9,1.3283727609335134e9
1.3288674174485116e9,1.329103127017849e9,1.3289512681630282e9,1.3290598803255112e9,1.3293706683947783e9
1.3288674174485116e9,1.3281464037565627e9,1.329255694760647e9,1.3290520650352561e9,1.3301253103550792e9
1.3288674174485116e9,1.3285857999886823e9,1.3288073154142704e9,1.3302992638406358e9,1.3296825795503495e9
1.3288674174485116e9,1.327507670812788e9,1.3267497906116204e9,1.3281242182000403e9,1.3276237644771245e9
1.3288674174485116e9,1.32807257701261e9,1.3266864973069205e9,1.327115939056206e9,1.3273357869736533e9
1.3288674174485116e9,1.329003093721251e9,1.3295581722696502e9,1.328730914356091e9,1.3288230284060018e9
1.3288674174485116e9,1.3292989999102247e9,1.331074365886726e9,1.3315656525857236e9,1.3313809669934669e9
1.3288674174485116e9,1.3282116882650216e9,1.3281448373298917e9,1.3278981385227768e9,1.3277150061083045e9
1.3288674174485116e9,1.33042030406377e9,1.330992528374071e9,1.3320215008214276e9,1.3331942328599973e9
1.3288674174485116e9,1.3284698109166684e9,1.3280449442818093e9,1.3270169256414247e9,1.3257482300731826e9
1.3288674174485116e9,1.327072329901492e9,1.3246854632882936e9,1.322205979735238e9,1.3200858564876235e9
1.3288674174485116e9,1.3303215358460412e9,1.3303961519246604e9,1.3316873591148689e9,1.3334887209507368e9
1.3288674174485116e9,1.3283056918342776e9,1.3271614631058357e9,1.3277698994752889e9,1.3269361956589031e9
1.3288674174485116e9,1.3293276330314312e9,1.3297229257318733e9,1.3291966120845678e9,1.3299011172429914e9
1.3288674174485116e9,1.327833071596912e9,1.3261312193062062e9,1.323958273661544e9,1.323321784541317e9
1.3288674174485116e9,1.3289400775097466e9,1.3287389489263837e9,1.3293124749391165e9,1.3305850800080464e9
1.3288674174485116e9,1.3295132651931856e9,1.329944433138215e9,1.3300119503012395e9,1.3310355776081192e9
1.3288674174485116e9,1.330105087145681e9,1.3307610043530498e9,1.3313851572496269e9,1.3310263854399977e9
1.3288674174485116e9,1.3273029437426124e9,1.3251351498442838e9,1.3236171731052744e9,1.3218753031992557e9
1.3288674174485116e9,1.3291907890370448e9,1.3288019276778157e9,1.3284862610466561e9,1.3292249429929283e9
1.3288674174485116e9,1.328454332356556e9,1.3280420797536294e9,1.3305336709458778e9,1.3322094802303145e9
