Location,Result,Units,Datetime
Lake Mead Hoover Dam and Powerplant,36097.8,af,06/15/21
Lake Mead Hoover Dam and Powerplant,34177.9,af,06/16/21
Lake Mead Hoover Dam and Powerplant,36043.1,af,06/17/21
Lake Mead Hoover Dam and Powerplant,34117,af,06/18/21
Lake Mead Hoover Dam and Powerplant,27467.1,af,06/19/21
Lake Mead Hoover Dam and Powerplant,23786.9,af,06/20/21
Lake Mead Hoover Dam and Powerplant,34271.8,af,06/21/21
Lake Mead Hoover Dam and Powerplant,35066.9,af,06/22/21
Lake Mead Hoover Dam and Powerplant,28629.9,af,06/23/21
Lake Mead Hoover Dam and Powerplant,29044.9,af,06/24/21
Lake Mead Hoover Dam and Powerplant,30703.1,af,06/25/21
Lake Mead Hoover Dam and Powerplant,28077.9,af,06/26/21
Lake Mead Hoover Dam and Powerplant,25441.9,af,06/27/21
Lake Mead Hoover Dam and Powerplant,37868.9,af,06/28/21
Lake Mead Hoover Dam and Powerplant,37665,af,06/29/21
Lake Mead Hoover Dam and Powerplant,37033.1,af,06/30/21
Lake Mead Hoover Dam and Powerplant,34429,af,07/01/21
Lake Mead Hoover Dam and Powerplant,31290.9,af,07/02/21
Lake Mead Hoover Dam and Powerplant,23936,af,07/03/21
Lake Mead Hoover Dam and Powerplant,24253.1,af,07/04/21
Lake Mead Hoover Dam and Powerplant,22979,af,07/05/21
Lake Mead Hoover Dam and Powerplant,28460.2,af,07/06/21
Lake Mead Hoover Dam and Powerplant,33189.4,af,07/07/21
Lake Mead Hoover Dam and Powerplant,33032.1,af,07/08/21
Lake Mead Hoover Dam and Powerplant,33219,af,07/09/21
Lake Mead Hoover Dam and Powerplant,25045.9,af,07/10/21
Lake Mead Hoover Dam and Powerplant,22410.9,af,07/11/21
Lake Mead Hoover Dam and Powerplant,34037,af,07/12/21
Lake Mead Hoover Dam and Powerplant,33185,af,07/13/21
Lake Mead Hoover Dam and Powerplant,29639,af,07/14/21
Lake Mead Hoover Dam and Powerplant,28420,af,07/15/21
Lake Mead Hoover Dam and Powerplant,22661.2,af,07/16/21
Lake Mead Hoover Dam and Powerplant,19059.2,af,07/17/21
Lake Mead Hoover Dam and Powerplant,18350.9,af,07/18/21
Lake Mead Hoover Dam and Powerplant,28241.9,af,07/19/21
Lake Mead Hoover Dam and Powerplant,32391.9,af,07/20/21
Lake Mead Hoover Dam and Powerplant,29473.9,af,07/21/21
Lake Mead Hoover Dam and Powerplant,31025,af,07/22/21
Lake Mead Hoover Dam and Powerplant,27032.9,af,07/23/21
Lake Mead Hoover Dam and Powerplant,22175.1,af,07/24/21
Lake Mead Hoover Dam and Powerplant,18551.1,af,07/25/21
Lake Mead Hoover Dam and Powerplant,23917,af,07/26/21
Lake Mead Hoover Dam and Powerplant,31218,af,07/27/21
Lake Mead Hoover Dam and Powerplant,34564.1,af,07/28/21
Lake Mead Hoover Dam and Powerplant,34701.8,af,07/29/21
Lake Mead Hoover Dam and Powerplant,29504.3,af,07/30/21
Lake Mead Hoover Dam and Powerplant,21268.2,af,07/31/21
Lake Mead Hoover Dam and Powerplant,17459.1,af,08/01/21
Lake Mead Hoover Dam and Powerplant,29918,af,08/02/21
Lake Mead Hoover Dam and Powerplant,27193,af,08/03/21
Lake Mead Hoover Dam and Powerplant,33509.2,af,08/04/21
Lake Mead Hoover Dam and Powerplant,34341.9,af,08/05/21
Lake Mead Hoover Dam and Powerplant,29313.9,af,08/06/21
Lake Mead Hoover Dam and Powerplant,21443,af,08/07/21
Lake Mead Hoover Dam and Powerplant,18701,af,08/08/21
Lake Mead Hoover Dam and Powerplant,19647,af,08/09/21
Lake Mead Hoover Dam and Powerplant,22386.8,af,08/10/21
Lake Mead Hoover Dam and Powerplant,26112.1,af,08/11/21
Lake Mead Hoover Dam and Powerplant,28171.9,af,08/12/21
Lake Mead Hoover Dam and Powerplant,29245.2,af,08/13/21
Lake Mead Hoover Dam and Powerplant,24493,af,08/14/21
Lake Mead Hoover Dam and Powerplant,21207,af,08/15/21
Lake Mead Hoover Dam and Powerplant,28034,af,08/16/21
Lake Mead Hoover Dam and Powerplant,27864.1,af,08/17/21
Lake Mead Hoover Dam and Powerplant,25573,af,08/18/21
Lake Mead Hoover Dam and Powerplant,23297.9,af,08/19/21
Lake Mead Hoover Dam and Powerplant,23298.8,af,08/20/21
Lake Mead Hoover Dam and Powerplant,19189.9,af,08/21/21
Lake Mead Hoover Dam and Powerplant,19339,af,08/22/21
Lake Mead Hoover Dam and Powerplant,15973,af,08/23/21
Lake Mead Hoover Dam and Powerplant,11331.8,af,08/24/21
Lake Mead Hoover Dam and Powerplant,23812,af,08/25/21
Lake Mead Hoover Dam and Powerplant,29690.2,af,08/26/21
Lake Mead Hoover Dam and Powerplant,35930.1,af,08/27/21
Lake Mead Hoover Dam and Powerplant,26949.5,af,08/28/21
Lake Mead Hoover Dam and Powerplant,19908.9,af,08/29/21
Lake Mead Hoover Dam and Powerplant,26654.9,af,08/30/21
Lake Mead Hoover Dam and Powerplant,26342.8,af,08/31/21
Lake Mead Hoover Dam and Powerplant,19239.1,af,09/01/21
Lake Mead Hoover Dam and Powerplant,22762,af,09/02/21
Lake Mead Hoover Dam and Powerplant,23584,af,09/03/21
Lake Mead Hoover Dam and Powerplant,18974.8,af,09/04/21
Lake Mead Hoover Dam and Powerplant,25385.2,af,09/05/21
Lake Mead Hoover Dam and Powerplant,22474,af,09/06/21
Lake Mead Hoover Dam and Powerplant,26033.8,af,09/07/21
Lake Mead Hoover Dam and Powerplant,22367,af,09/08/21
