datetime,total release,storage (ac-ft)
3/4/2015,18759.0417,10741615.2
3/5/2015,20456.625,10723581
3/6/2015,22324.0833,10700431.2
3/7/2015,18452.0417,10685855.4
3/8/2015,14797.3333,10683286.8
3/9/2015,15319.7083,10678153.2
3/10/2015,14233.125,10673019.6
3/11/2015,16417.2083,10661041.2
3/12/2015,16099.625,10651629.6
3/13/2015,15715.5,10643073.6
3/14/2015,15699.875,10634532
3/15/2015,16905.8333,10624284
3/16/2015,17149.1667,10614036
3/17/2015,15980.5,10602934
3/18/2015,17314.25,10588439.4
3/19/2015,19358.4583,10569691
3/20/2015,23734.6667,10542451.2
3/21/2015,15854.5417,10530545.6
3/22/2015,15421.5,10521191.2
3/23/2015,16633.875,10509295.2
3/24/2015,16132.875,10494865.6
3/25/2015,18739.875,10477040.8
3/26/2015,18315.75,10463480
3/27/2015,18097.125,10448237.6
3/28/2015,14492.2083,10441463.2
3/29/2015,12781.0833,10438922.8
3/30/2015,17443.2083,10429608
3/31/2015,14397.9583,10418620.4
4/1/2015,13944.8333,10411858.8
4/2/2015,16939.5833,10403406.8
4/3/2015,23110.9583,10376383.8
4/4/2015,18859.4583,10359515.8
4/5/2015,14410.5833,10350238.4
4/6/2015,16821,10339286.8
4/7/2015,16333.4583,10315722
4/8/2015,19422.125,10300578
4/9/2015,19292.4167,10282098
4/10/2015,22259.4583,10259422
4/11/2015,15054.3333,10248528
4/12/2015,18478.7083,10230092
4/13/2015,20657.1667,10209161.2
4/14/2015,18378.2917,10196615.2
4/15/2015,20663.7917,10169866.6
4/16/2015,21397.875,10148167
4/17/2015,16125.7917,10134815
4/18/2015,14173.0833,10127318
4/19/2015,14624.3333,10118155
4/20/2015,18625.875,10102328
4/21/2015,16797.9167,10086519
4/22/2015,17750.7083,10069899
4/23/2015,20071.3333,10053279
4/24/2015,17638.875,10034201.2
4/25/2015,12920.25,10032542.4
4/26/2015,13437.0417,10021760.2
4/27/2015,21132.625,10000219.2
4/28/2015,18414.25,9982012
4/29/2015,24177.8333,9962164
4/30/2015,26183.0833,9930776
5/1/2015,17517.7917,9916759.2
5/2/2015,9947.58333,9916759.2
5/3/2015,7976.33333,9924177
5/4/2015,14101.625,9914286.6
5/5/2015,15069.4583,9910989.8
5/6/2015,18276.125,9891209
5/7/2015,18002.2917,9872281.2
5/8/2015,21440.7083,9854184
5/9/2015,14524.0833,9846780.6
5/10/2015,14550.7083,9841854
5/11/2015,18456.4583,9829542
5/12/2015,16774.5417,9813946.8
5/13/2015,21046.9583,9789353.2
5/14/2015,20686.4167,9768054
5/15/2015,15771.375,9756601.4
5/16/2015,10373.25,9760688.4
5/17/2015,11174.9167,9762323.2
5/18/2015,13340.2083,9756601.4
5/19/2015,11824.1667,9758236.2
5/20/2015,14019.375,9749244.8
5/21/2015,13892.875,9745975.2
5/22/2015,13666.9583,9739436
5/23/2015,11083.1667,9743523
5/24/2015,9428.45833,9748018.7
5/25/2015,8883.45833,9751697
5/26/2015,14272.9583,9745157.8
5/27/2015,12766.5417,9738618.6
5/28/2015,13649.25,9731262
5/29/2015,13726.4583,9727175
5/30/2015,12560.9167,9725540.2
5/31/2015,10268.875,9728809.8
6/1/2015,14706,9718193.2
6/2/2015,13935.125,9711666.8
6/3/2015,13021.0417,9714114.2
6/4/2015,18252.8333,9700245.6
6/5/2015,19649.375,9684745.4
6/6/2015,13699.75,9683929.6
6/7/2015,15822.2083,9679042
6/8/2015,17083.25,9670088
6/9/2015,14542.25,9664390
6/10/2015,13811.1667,9661948
6/11/2015,16879.0833,9654622
6/12/2015,19141.6667,9641598
6/13/2015,16355.1667,9638349.2
6/14/2015,11924.5833,9639973.6
6/15/2015,13837.875,9634288.2
6/16/2015,15052.4167,9625354
6/17/2015,19503.6667,9611546.6
6/18/2015,15801.2083,9607485.6
6/19/2015,13607.0417,9606673.4
6/20/2015,11992.0417,9608297.8
6/21/2015,11763.75,9611546.6
6/22/2015,13965.4583,9606673.4
6/23/2015,15925.125,9600177.2
6/24/2015,15089.0833,9593690.8
6/25/2015,17659.4167,9585582.8
6/26/2015,16324.375,9577474.8
6/27/2015,8498.83333,9588015.2
6/28/2015,8102.5,9596123.2
6/29/2015,10142.7917,9607485.6
6/30/2015,11639.125,9607485.6
7/1/2015,17382.0833,9595312.4
7/2/2015,19195.625,9585582.8
7/3/2015,15888.375,9586393.6
7/4/2015,6035.41667,9611546.6
7/5/2015,7352.79167,9627790.6
7/6/2015,11978.9583,9632663.8
7/7/2015,13252.5,9640785.8
7/8/2015,13057.3333,9650552
7/9/2015,14426.6667,9652994
7/10/2015,15402.7917,9654622
7/11/2015,13395.6667,9661134
7/12/2015,14446.875,9665204
7/13/2015,11810.0417,9674158
7/14/2015,12396.9167,9679042
7/15/2015,12489.6667,9688008.6
7/16/2015,18100.625,9684745.4
7/17/2015,18498.4167,9677414
7/18/2015,15126.5833,9683113.8
7/19/2015,18403.125,9683113.8
7/20/2015,15460.7917,9693719.2
7/21/2015,12203.2917,9703508.8
7/22/2015,11524.2917,9715745.8
7/23/2015,12775.5,9722272.2
7/24/2015,9058.33333,9737801.2
7/25/2015,7167.29167,9758236.2
7/26/2015,6104.91667,9779522.8
7/27/2015,6494.75,9797545.2
7/28/2015,8025.29167,9814767.6
7/29/2015,10371.1667,9823796.4
7/30/2015,11099.1667,9832004.4
7/31/2015,7947.66667,9858297
8/1/2015,9373.95833,9872281.2
8/2/2015,7824.54167,9891209
8/3/2015,11448.1667,9892857.4
8/4/2015,12066.75,9890384.8
8/5/2015,17760.75,9880507.2
8/6/2015,21100.3333,9873103.8
8/7/2015,17343.8333,9858297
8/8/2015,11396.25,9861587.4
8/9/2015,10904.6667,9869813.4
8/10/2015,13780.2083,9868990.8
8/11/2015,13499.2083,9867345.6
8/12/2015,16430.8333,9862410
8/13/2015,14443.4167,9859942.2
8/14/2015,15644.8333,9859119.6
8/15/2015,12122.2083,9863232.6
8/16/2015,12177.2083,9865700.4
8/17/2015,12928.375,9866523
8/18/2015,11821.25,9865700.4
8/19/2015,9398.70833,9868168.2
8/20/2015,12217.5,9868168.2
8/21/2015,15853.5417,9859942.2
8/22/2015,14475.125,9859119.6
8/23/2015,15726.0417,9853361.4
8/24/2015,12806.3333,9851716.2
8/25/2015,13542.375,9853361.4
8/26/2015,12277.5,9852538.8
8/27/2015,15079.125,9850071
8/28/2015,12596.25,9850071
8/29/2015,9921.5,9856651.8
8/30/2015,8556.75,9865700.4
8/31/2015,10210.375,9871458.6
9/1/2015,16661.25,9860764.8
9/2/2015,13534.4167,9858297
9/3/2015,13643.3333,9853361.4
9/4/2015,12953.5417,9851716.2
9/5/2015,8845,9855829.2
9/6/2015,8121.66667,9864877.8
9/7/2015,12387.4167,9864877.8
9/8/2015,16820.0833,9855006.6
9/9/2015,16940.5833,9843495.6
9/10/2015,16857.3333,9836108.4
9/11/2015,14405.5,9831183.6
9/12/2015,10645.9167,9835287.6
9/13/2015,7707.70833,9843495.6
9/14/2015,12460.9583,9840212.4
9/15/2015,11248.4583,9839391.6
9/16/2015,8811.25,9844316.4
9/17/2015,9661.91667,9850893.6
9/18/2015,11950.8333,9853361.4
9/19/2015,9879.625,9857474.4
9/20/2015,12593.1667,9856651.8
9/21/2015,12896.0833,9853361.4
9/22/2015,11327.5833,9855829.2
9/23/2015,13689.6667,9851716.2
9/24/2015,16400.5,9844316.4
9/25/2015,15652.25,9833646
9/26/2015,8190.16667,9844316.4
9/27/2015,8154.375,9850893.6
9/28/2015,9648.70833,9855006.6
9/29/2015,10377.3333,9857474.4
9/30/2015,11999.5833,9854184
10/1/2015,9887.20833,9856651.8
10/2/2015,6904.54167,9868990.8
10/3/2015,9671.83333,9872281.2
10/4/2015,7584.70833,9877216.8
10/5/2015,9477.83333,9887912.2
10/6/2015,10130.75,9886265.4
10/7/2015,10261.25,9882975
10/8/2015,15854.125,9875571.6
10/9/2015,12404.625,9873103.8
10/10/2015,9554.91667,9876394.2
10/11/2015,6702.875,9882975
10/12/2015,12435.2917,9879684.6
10/13/2015,13312.5833,9869813.4
10/14/2015,11425.5,9865700.4
10/15/2015,10281.4167,9864877.8
10/16/2015,5385.5,9878862
10/17/2015,5275.66667,9887912.2
10/18/2015,4670.54167,9901099.4
10/19/2015,7989.5,9908517.2
10/20/2015,6880.75,9919231.8
10/21/2015,11060.8333,9914286.6
10/22/2015,9624,9916759.2
10/23/2015,10522.4583,9918407.6
10/24/2015,10966.5417,9920056
10/25/2015,9613.375,9921704.4
10/26/2015,6660,9931602
10/27/2015,8570.41667,9933254
10/28/2015,9465.16667,9929950
10/29/2015,8231,9934906
10/30/2015,12964.1667,9925001.2
10/31/2015,7729.41667,9927473.8
11/1/2015,9171.25,9931602
11/2/2015,6904.08333,9931602
11/3/2015,9523.66667,9934080
11/4/2015,8013.20833,9938210
11/5/2015,10755.9583,9938210
11/6/2015,9330.04167,9939862
11/7/2015,9063.95833,9936558
11/8/2015,8536.04167,9939862
11/9/2015,9935.70833,9932428
11/10/2015,8755.29167,9934080
11/11/2015,9024.54167,9934080
11/12/2015,12351.5417,9929124
11/13/2015,12115.6667,9924177
11/14/2015,9881.08333,9923352.8
11/15/2015,11519.1667,9919231.8
11/16/2015,10122.6667,9919231.8
11/17/2015,11482.9583,9912638.2
11/18/2015,10464.9167,9908517.2
11/19/2015,12236.2083,9903572
11/20/2015,13474.7917,9895330
11/21/2015,8591,9899451
11/22/2015,8710.45833,9903572
11/23/2015,9133.5,9904396.2
11/24/2015,11279.6667,9900357.62
11/25/2015,11389.6667,9895330
11/26/2015,10779.0833,9895330
11/27/2015,14862.8333,9887088
11/28/2015,14541.7083,9878039.4
11/29/2015,12801.75,9870636
11/30/2015,13354.4167,9864877.8
12/1/2015,9108.33333,9864877.8
12/2/2015,13002.4583,9857474.4
12/3/2015,8265.75,9865700.4
12/4/2015,8273.83333,9878862
12/5/2015,4930.75,9896978.4
12/6/2015,4176.91667,9917583.4
12/7/2015,7122.95833,9932428
12/8/2015,6230.54167,9949774
12/9/2015,8578.41667,9956382
12/10/2015,7953.70833,9966294
12/11/2015,10901.5417,9976218.8
12/12/2015,13172.375,9980356.8
12/13/2015,11547.4167,9976218.8
12/14/2015,9390.58333,9992770.8
12/15/2015,9312,10001874.4
12/16/2015,13822.7083,10002702
12/17/2015,12547.2083,10005184.8
12/18/2015,11558,10011807.4
12/19/2015,9045.20833,10020930.8
12/20/2015,8580.95833,10035860
12/21/2015,10133.2917,10044983.4
12/22/2015,10655.0417,10049130.4
12/23/2015,10964.5833,10051618.6
12/24/2015,12368.7083,10056603
12/25/2015,12798.7917,10058265
12/26/2015,12049.5417,10060758
12/27/2015,11683.5,10062420
12/28/2015,12780.6667,10063251
12/29/2015,10062.6667,10072392
12/30/2015,9163.79167,10080702
12/31/2015,11869.0833,10086519
1/1/2016,9033.20833,10094831
1/2/2016,10390.7917,10104827
1/3/2016,9774.79167,10113157
1/4/2016,10101.5,10115656
1/5/2016,11319.0417,10128151
1/6/2016,12284.0417,10137317.2
1/7/2016,13317.0833,10139821
1/8/2016,15333.25,10140655.6
1/9/2016,12955.5833,10143994
1/10/2016,12861.7917,10148167
1/11/2016,8960.04167,10157347.6
1/12/2016,8087.29167,10168197.4
1/13/2016,10775.5,10173205
1/14/2016,11328.5417,10182396.4
1/15/2016,12958.0833,10185742
1/16/2016,11770.25,10196615.2
1/17/2016,9191.41667,10209997.6
1/18/2016,8451.79167,10220874
1/19/2016,8179.04167,10231768
1/20/2016,8441.875,10240986
1/21/2016,9702.125,10248528
1/22/2016,10984.7917,10259422
1/23/2016,8413.5,10272858
1/24/2016,8321.29167,10282938
1/25/2016,11356.375,10289658
1/26/2016,8572.79167,10298898
1/27/2016,12392,10299738
1/28/2016,15464.4167,10298898
1/29/2016,13203.5833,10302258
1/30/2016,9609.875,10312355.6
1/31/2016,10011.2083,10318246.8
2/1/2016,9071.91667,10332554
2/2/2016,11503.5417,10338445.2
2/3/2016,10652,10342653.2
2/4/2016,12681.0059,10339286.8
2/5/2016,11970.4167,10341811.6
2/6/2016,10781.5833,10344336.4
